Az ingatlan helye,"Családi ház átlagár, ezer Ft/m²",Családi ház átlagár darab,"Többlakásos társasház átlagár, ezer Ft/m²",Többlakásos társasház darab,"Lakótelepi panel átlagár, ezer Ft/m²",Lakótelepi panel darab,"Lakások összesen átlagár, ezer Ft/m²",Lakások összesen darab,"Lakások összesen relatív szórás, %",Év,Kerület
Eperjes utca,,,476.0,15.0,,,476,15,14,2021,20
Hársfa sétány,,,,,463.0,9.0,463,9,10,2021,20
Határ út,,,431.0,4.0,472.0,6.0,460,11,14,2021,20
Helsinki út,,,480.0,46.0,,,480,46,17,2021,20
Hitel Márton utca,,,446.0,3.0,,,459,4,7,2021,20
Honvéd utca,,,470.0,6.0,,,470,6,24,2021,20
Hosszú utca,,,429.0,8.0,,,400,9,39,2021,20
János utca,,,460.0,9.0,,,460,9,24,2021,20
Jókai Mór utca,,,482.0,7.0,,,482,7,20,2021,20
Jósika utca,430.0,3.0,502.0,3.0,,,466,6,15,2021,20
Károly utca,,,487.0,4.0,,,487,4,13,2021,20
Kende Kanuth utca,,,416.0,7.0,,,400,8,16,2021,20
Kinizsi utca,,,492.0,5.0,,,492,5,15,2021,20
Királyhágó utca,430.0,3.0,,,,,460,5,25,2021,20
Kossuth Lajos utca,,,500.0,37.0,,,500,37,21,2021,20
Közműhelytelep utca,,,728.0,22.0,,,728,22,20,2021,20
Kulcsár utca,,,502.0,3.0,,,502,3,5,2021,20
Kuruc utca,,,,,,,484,4,44,2021,20
Lajtha László utca,,,451.0,11.0,,,451,11,17,2021,20
Mártírok útja,,,,,,,529,4,39,2021,20
Nagy Győry István köz,,,536.0,8.0,,,536,8,13,2021,20
Nagy Győry István utca,,,522.0,14.0,,,522,14,20,2021,20
Nagysándor József utca,,,433.0,9.0,,,451,10,21,2021,20
Orsolya utca,,,468.0,4.0,,,468,4,18,2021,20
Pacsirta utca,,,433.0,8.0,,,438,10,19,2021,20
Pázsitos sétány,,,,,484.0,17.0,511,19,26,2021,20
Pöltenberg utca,,,568.0,7.0,,,568,7,19,2021,20
Pusztakamarás utca,,,665.0,3.0,,,665,3,13,2021,20
Rákóczi utca,,,455.0,5.0,,,460,6,11,2021,20
Rimaszombat utca,,,500.0,5.0,,,483,6,14,2021,20
Sárrét utca,,,492.0,3.0,,,492,3,40,2021,20
Sas utca,,,471.0,4.0,,,477,5,34,2021,20
Széchenyi utca,,,711.0,6.0,,,711,6,13,2021,20
Szegfű utca,,,665.0,3.0,,,665,3,7,2021,20
Szent Imre herceg utca,,,416.0,5.0,,,416,5,29,2021,20
Tátra tér,,,490.0,8.0,,,490,8,21,2021,20
Téglaégető utca,,,479.0,6.0,,,479,6,20,2021,20
Téglagyár tér,,,566.0,7.0,,,566,7,8,2021,20
Téglagyártó út,,,785.0,33.0,,,785,33,14,2021,20
Topánka utca,,,464.0,19.0,,,464,19,16,2021,20
Török Flóris utca,,,500.0,25.0,465.0,18.0,486,43,19,2021,20
Tótfalusi Kis Miklós sétány,,,,,558.0,5.0,558,5,20,2021,20
Vágóhíd utca,,,504.0,6.0,,,504,6,48,2021,20
Vécsey utca,,,523.0,5.0,,,450,7,37,2021,20
Virág Benedek utca,,,604.0,4.0,,,550,5,34,2021,20
Vízisport utca,,,795.0,9.0,,,795,9,19,2021,20
Vörösmarty utca,,,548.0,18.0,426.0,4.0,526,22,31,2021,20
Wesselényi utca,,,463.0,10.0,,,473,11,20,2021,20
Zamárdi utca,,,578.0,17.0,,,578,17,13,2021,20
Zilah utca,,,440.0,7.0,,,440,7,9,2021,20
Zrínyi utca,,,451.0,3.0,,,451,3,25,2021,20
együtt,452.0,59.0,528.0,683.0,489.0,125.0,517,867,26,2021,20
Ady Endre út,,,,,544.0,51.0,546,52,20,2021,21
Aradi vértanúk útja,,,632.0,3.0,,,595,4,13,2021,21
Árpád utca,,,,,466.0,70.0,466,70,12,2021,21
Bajcsy-Zsilinszky út,,,463.0,3.0,,,463,3,21,2021,21
Bánya utca,,,,,527.0,11.0,527,11,19,2021,21
Béke tér,,,567.0,19.0,,,567,19,14,2021,21
Bokros utca,645.0,3.0,,,,,645,3,22,2021,21
Cirmos sétány,,,471.0,15.0,,,471,15,11,2021,21
Csikó sétány,,,509.0,9.0,489.0,11.0,498,20,12,2021,21
Csillag utca,,,,,452.0,7.0,452,7,17,2021,21
Dunadűlő út,,,,,535.0,29.0,535,29,20,2021,21
Erdősor utca,,,458.0,15.0,484.0,10.0,468,25,14,2021,21
Görgey Artúr tér,,,,,484.0,4.0,484,4,11,2021,21
II. Rákóczi Ferenc út,,,609.0,40.0,450.0,17.0,558,58,23,2021,21
Ív utca,,,,,,,384,3,51,2021,21
József Attila utca,,,464.0,7.0,466.0,17.0,466,24,11,2021,21
Jupiter utca,,,479.0,3.0,,,479,3,13,2021,21
Kapos utca,,,495.0,13.0,,,495,13,17,2021,21
Károli Gáspár utca,,,,,,,324,4,51,2021,21
Katona József utca,,,554.0,26.0,579.0,5.0,558,31,21,2021,21
Kikötő utca,,,476.0,6.0,,,482,8,15,2021,21
Kiss János altábornagy utca,,,630.0,7.0,457.0,15.0,512,22,21,2021,21
Kolozsvári utca,,,499.0,9.0,,,507,10,16,2021,21
Kőrösi Sándor utca,,,414.0,4.0,,,414,4,6,2021,21
Kossuth Lajos utca,,,491.0,22.0,490.0,86.0,490,108,14,2021,21
Kozmosz sétány,,,,,470.0,4.0,470,4,5,2021,21
Krizantém utca,,,,,441.0,8.0,441,8,14,2021,21
Makád utca,,,,,523.0,5.0,523,5,14,2021,21
Mars utca,,,516.0,18.0,,,516,18,18,2021,21
Mázoló utca,,,,,,,498,3,23,2021,21
Merkúr utca,,,534.0,13.0,,,534,13,12,2021,21
Nap utca,,,,,461.0,15.0,461,15,11,2021,21
Nyírfa utca,,,,,487.0,12.0,487,12,22,2021,21
Nyuszi sétány,,,508.0,17.0,,,508,17,10,2021,21
Orion utca,,,516.0,15.0,,,516,15,15,2021,21
Óvoda utca,,,,,479.0,7.0,479,7,15,2021,21
Petz Ferenc utca,,,,,486.0,14.0,493,15,10,2021,21
Posztógyár köz,,,403.0,4.0,,,403,4,20,2021,21
Puli sétány,,,444.0,20.0,,,444,21,15,2021,21
Rakéta utca,,,521.0,18.0,451.0,4.0,508,22,12,2021,21
Reggel utca,,,,,506.0,13.0,506,13,16,2021,21
Rózsa utca,,,,,,,483,3,34,2021,21
Simon Bolivár sétány,,,,,476.0,3.0,476,3,13,2021,21
Szabadság köz,,,540.0,7.0,,,540,7,13,2021,21
Szabadság utca,,,518.0,26.0,,,518,26,11,2021,21
Szent István út,,,575.0,11.0,489.0,11.0,528,23,27,2021,21
Szent László utca,,,470.0,20.0,,,470,20,31,2021,21
Szigligeti utca,,,,,480.0,5.0,480,5,22,2021,21
Táncsics Mihály utca,,,,,454.0,20.0,454,20,10,2021,21
Technikus utca,,,479.0,5.0,,,479,5,11,2021,21
Tejút utca,,,494.0,7.0,,,494,7,10,2021,21
Templom utca,,,491.0,12.0,,,491,12,19,2021,21
Űrhajós utca,,,464.0,4.0,,,464,4,16,2021,21
Vasas utca,,,385.0,4.0,,,385,4,52,2021,21
Vénusz utca,,,573.0,21.0,,,569,22,13,2021,21
Völgy utca,,,509.0,3.0,455.0,10.0,467,13,15,2021,21
Zöldfa utca,,,,,444.0,8.0,444,8,18,2021,21
Zrínyi utca,,,,,464.0,18.0,464,18,11,2021,21
Zsák Hugó utca,,,,,423.0,3.0,423,3,29,2021,21
együtt,478.0,40.0,516.0,464.0,486.0,496.0,500,1000,19,2021,21
Ady Endre út,,,794.0,8.0,,,794,8,16,2021,22
Anna utca,,,567.0,9.0,,,567,9,9,2021,22
Aszály utca,,,983.0,7.0,,,983,7,19,2021,22
Bartók Béla út,,,543.0,16.0,,,543,16,22,2021,22
Batthyány utca,,,584.0,4.0,,,584,4,8,2021,22
Csút utca,,,564.0,9.0,,,564,9,9,2021,22
Dévény utca,,,,,632.0,4.0,624,6,6,2021,22
Füstike utca,,,665.0,3.0,,,665,3,5,2021,22
Galga utca,,,695.0,4.0,,,695,4,16,2021,22
Gerinc utca,,,759.0,4.0,,,759,4,15,2021,22
Gyula vezér út,,,878.0,3.0,579.0,3.0,728,6,26,2021,22
Háros utca,,,645.0,6.0,,,645,6,17,2021,22
Húr utca,,,,,,,605,3,20,2021,22
Ják utca,,,642.0,3.0,,,642,3,10,2021,22
Játék utca,,,618.0,6.0,,,618,6,19,2021,22
József Attila utca,,,567.0,9.0,,,567,9,8,2021,22
Kápolna utca,,,582.0,7.0,,,578,8,7,2021,22
Kiránduló utca,,,653.0,4.0,,,671,5,13,2021,22
Kossuth Lajos utca,,,583.0,12.0,,,583,12,11,2021,22
Leányka utca,,,521.0,14.0,561.0,21.0,545,35,16,2021,22
Magasház utca,,,569.0,9.0,,,569,9,21,2021,22
Mária Terézia utca,,,629.0,10.0,,,629,10,15,2021,22
Mézesfehér utca,,,,,515.0,10.0,515,10,25,2021,22
Nagytétényi út,,,514.0,30.0,,,514,30,27,2021,22
Névtelen utca,,,,,507.0,10.0,507,10,17,2021,22
Pécsi utca,,,620.0,7.0,,,620,7,19,2021,22
Rákóczi út,,,,,577.0,6.0,642,8,21,2021,22
Regényes utca,,,613.0,3.0,,,613,3,11,2021,22
Rózsakert utca,,,996.0,5.0,555.0,9.0,712,14,34,2021,22
Sík utca,,,781.0,4.0,,,710,5,30,2021,22
Társasház utca,,,483.0,4.0,,,483,4,5,2021,22
Tenkes utca,,,583.0,12.0,527.0,3.0,572,15,13,2021,22
Terv utca,,,759.0,6.0,590.0,11.0,649,17,18,2021,22
Tóth József utca,,,547.0,3.0,,,547,3,41,2021,22
Tűzliliom utca,,,,,591.0,19.0,591,19,7,2021,22
Vidám utca,,,,,560.0,3.0,560,3,11,2021,22
Vihar utca,,,654.0,6.0,,,654,6,13,2021,22
Villa utca,,,829.0,7.0,,,829,7,9,2021,22
Zambelli Lajos utca,,,,,,,499,3,39,2021,22
együtt,523.0,29.0,645.0,306.0,562.0,100.0,618,435,27,2021,22
Dinnyehegyi út,,,,,535.0,5.0,535,5,6,2021,23
Grassalkovich út,,,436.0,13.0,,,415,15,43,2021,23
Hősök tere,,,,,,,344,3,33,2021,23
Maros utca,,,585.0,5.0,,,585,5,8,2021,23
Nyír utca,,,509.0,4.0,,,520,6,18,2021,23
Őrgébics utca,,,,,484.0,5.0,484,5,28,2021,23
Sósmocsár út,,,,,467.0,3.0,467,3,5,2021,23
Szekér utca,407.0,4.0,,,,,400,5,15,2021,23
Szent László utca,,,,,564.0,4.0,511,5,33,2021,23
Szitás utca,,,476.0,3.0,,,488,4,36,2021,23
Táncsics Mihály utca,,,285.0,9.0,,,285,9,60,2021,23
Templom utca,,,356.0,3.0,,,356,3,23,2021,23
Tószeg utca,,,,,,,510,3,13,2021,23
Újtelep út,,,,,490.0,12.0,505,13,16,2021,23
együtt,428.0,22.0,438.0,69.0,504.0,31.0,453,122,33,2021,23
Budapest 01. kerület,,,941.0,481.0,,,941,481,28,2021,Összesen
Budapest 02. kerület,974.0,91.0,936.0,1234.0,,,939,1325,31,2021,Összesen
Budapest 03. kerület,803.0,35.0,844.0,801.0,605.0,1251.0,700,2087,29,2021,Összesen
Budapest 04. kerület,606.0,43.0,619.0,688.0,563.0,951.0,587,1682,23,2021,Összesen
Budapest 05. kerület,,,1042.0,547.0,,,1042,547,32,2021,Összesen
Budapest 06. kerület,,,800.0,1021.0,,,800,1021,27,2021,Összesen
Budapest 07. kerület,,,721.0,1540.0,,,721,1542,24,2021,Összesen
Budapest 08. kerület,,,641.0,1706.0,592.0,131.0,638,1839,27,2021,Összesen
Budapest 09. kerület,,,741.0,1397.0,584.0,53.0,735,1452,24,2021,Összesen
Budapest 10. kerület,482.0,41.0,563.0,1016.0,532.0,548.0,550,1605,25,2021,Összesen
Budapest 11. kerület,887.0,17.0,851.0,1850.0,680.0,769.0,801,2636,26,2021,Összesen
Budapest 12. kerület,1174.0,9.0,925.0,983.0,,,927,993,29,2021,Összesen
Budapest 13. kerület,909.0,22.0,787.0,2237.0,658.0,455.0,767,2714,25,2021,Összesen
Budapest 14. kerület,720.0,81.0,693.0,2117.0,583.0,602.0,671,2800,22,2021,Összesen
Budapest 15. kerület,533.0,162.0,586.0,301.0,544.0,792.0,553,1255,22,2021,Összesen
Budapest 16. kerület,625.0,257.0,648.0,459.0,551.0,42.0,635,758,26,2021,Összesen
Budapest 17. kerület,525.0,331.0,633.0,253.0,540.0,323.0,561,907,27,2021,Összesen
Budapest 18. kerület,519.0,107.0,595.0,598.0,503.0,345.0,557,1050,25,2021,Összesen
Budapest 19. kerület,501.0,35.0,591.0,369.0,508.0,456.0,543,860,25,2021,Összesen
Budapest 20. kerület,452.0,59.0,528.0,683.0,489.0,125.0,517,867,26,2021,Összesen
Budapest 21. kerület,478.0,40.0,516.0,464.0,486.0,496.0,500,1000,19,2021,Összesen
Budapest 22. kerület,523.0,29.0,645.0,306.0,562.0,100.0,618,435,27,2021,Összesen
Budapest 23. kerület,428.0,22.0,438.0,69.0,504.0,31.0,453,122,33,2021,Összesen
Budapest összesen,602.0,1385.0,741.0,21120.0,572.0,7473.0,693,29978,33,2021,Összesen
Aladár utca,,,1298.0,6.0,,,1298,6,27,2022,1
Alagút utca,,,880.0,3.0,,,880,3,63,2022,1
Alsóhegy utca,,,1051.0,6.0,,,1051,6,11,2022,1
Attila út,,,1017.0,61.0,,,1017,61,21,2022,1
Avar utca,,,968.0,4.0,,,968,4,17,2022,1
Batthyány utca,,,945.0,29.0,,,945,29,29,2022,1
Bem rakpart,,,1333.0,6.0,,,1333,6,24,2022,1
Berényi utca,,,1095.0,3.0,,,1095,3,33,2022,1
Csalogány utca,,,1007.0,10.0,,,1007,10,23,2022,1
Csap utca,,,1201.0,4.0,,,1201,4,5,2022,1
Döbrentei utca,,,1302.0,5.0,,,1302,5,12,2022,1
Donáti utca,,,1076.0,6.0,,,1076,6,15,2022,1
Fenyő utca,,,1305.0,3.0,,,1305,3,14,2022,1
Fő utca,,,1042.0,17.0,,,1042,17,32,2022,1
Gellérthegy utca,,,1079.0,13.0,,,1079,13,20,2022,1
Hattyú utca,,,1027.0,14.0,,,1027,14,16,2022,1
Hunyadi János út,,,1092.0,7.0,,,1092,7,39,2022,1
Jégverem utca,,,1067.0,3.0,,,1067,3,6,2022,1
Kosciuszkó Tádé utca,,,937.0,5.0,,,937,5,12,2022,1
Krisztina körút,,,1008.0,10.0,,,1008,10,12,2022,1
Kuny Domokos utca,,,946.0,4.0,,,946,4,12,2022,1
Lisznyai utca,,,1498.0,4.0,,,1498,4,40,2022,1
Logodi utca,,,1192.0,17.0,,,1192,17,28,2022,1
Lovas út,,,1017.0,4.0,,,1017,4,10,2022,1
Márvány utca,,,754.0,6.0,,,754,6,20,2022,1
Mátray utca,,,1039.0,3.0,,,1039,3,8,2022,1
Mészáros utca,,,944.0,13.0,,,944,13,23,2022,1
Mihály utca,,,1069.0,3.0,,,1069,3,14,2022,1
Naphegy utca,,,1275.0,14.0,,,1275,14,37,2022,1
Orom utca,,,2181.0,5.0,,,2181,5,27,2022,1
Ostrom utca,,,1011.0,4.0,,,1011,4,11,2022,1
Pauler utca,,,1087.0,8.0,,,1087,8,18,2022,1
Szabó Ilonka utca,,,1240.0,7.0,,,1240,7,40,2022,1
Szirtes út,,,1139.0,3.0,,,1139,3,25,2022,1
Tigris utca,,,1195.0,5.0,,,1195,5,17,2022,1
Toldy Ferenc utca,,,1078.0,5.0,,,1078,5,33,2022,1
Úri utca,,,1767.0,3.0,,,1767,3,7,2022,1
Várfok utca,,,981.0,8.0,,,981,8,17,2022,1
Várkert rakpart,,,1327.0,4.0,,,1327,4,18,2022,1
Vérmező út,,,870.0,3.0,,,870,3,5,2022,1
Zsolt utca,,,1173.0,7.0,,,1173,7,17,2022,1
együtt,,,1095.0,394.0,,,1095,394,30,2022,1
Ady Endre utca,,,1344.0,12.0,,,1344,12,41,2022,2
Alsó Törökvész út,,,1249.0,3.0,,,1249,3,13,2022,2
Alsó Zöldmáli út,,,1604.0,6.0,,,1604,6,37,2022,2
Alvinci út,,,1266.0,6.0,,,1266,6,24,2022,2
Apostol utca,,,1038.0,4.0,,,1038,4,16,2022,2
Árpád fejedelem útja,,,1002.0,10.0,,,1002,10,18,2022,2
Baka utca,,,1583.0,3.0,,,1583,3,49,2022,2
Battai út,,,1375.0,3.0,,,1375,3,51,2022,2
Bécsi út,,,985.0,4.0,,,985,4,17,2022,2
Bem József utca,,,1015.0,9.0,,,1015,9,23,2022,2
Bem rakpart,,,1332.0,8.0,,,1332,8,26,2022,2
Berkenye utca,,,963.0,6.0,,,963,6,41,2022,2
Bimbó út,,,1175.0,28.0,,,1189,29,27,2022,2
Bogár utca,,,1210.0,9.0,,,1239,10,19,2022,2
Branyiszkó út,,,1109.0,3.0,,,1109,3,14,2022,2
Budakeszi út,,,1123.0,30.0,,,1110,31,26,2022,2
Buday László utca,,,1109.0,4.0,,,1109,4,29,2022,2
Budenz út,,,1328.0,6.0,,,1328,6,27,2022,2
Bujdosó köz,,,1258.0,3.0,,,1258,3,28,2022,2
Cimbalom utca,,,1088.0,4.0,,,1088,4,15,2022,2
Csalán út,,,955.0,6.0,,,1075,7,56,2022,2
Csalogány utca,,,1339.0,12.0,,,1339,12,45,2022,2
Csejtei utca,,,1159.0,3.0,,,1159,3,28,2022,2
Cserje utca,,,1977.0,6.0,,,1977,6,42,2022,2
Darázs utca,,,1000.0,5.0,,,1000,5,25,2022,2
Daru utca,,,,,,,1170,3,26,2022,2
Endrődi Sándor utca,,,1414.0,6.0,,,1414,6,22,2022,2
Érmelléki utca,,,1057.0,3.0,,,1057,3,29,2022,2
Erőd utca,,,977.0,5.0,,,977,5,20,2022,2
Ervin utca,,,1184.0,4.0,,,1184,4,36,2022,2
Eszter utca,,,1558.0,4.0,,,1558,4,46,2022,2
Ezredes utca,,,1107.0,6.0,,,1107,6,10,2022,2
Fazekas utca,,,1122.0,5.0,,,1122,5,25,2022,2
Felső Zöldmáli út,,,1067.0,12.0,,,1067,12,26,2022,2
Fény utca,,,822.0,5.0,,,822,5,27,2022,2
Fillér utca,,,1206.0,32.0,,,1206,32,40,2022,2
Fő utca,,,1179.0,15.0,,,1179,15,47,2022,2
Forint utca,,,1224.0,3.0,,,1224,3,5,2022,2
Frankel Leó út,,,1001.0,37.0,,,1001,37,23,2022,2
Gábor Áron utca,,,969.0,8.0,,,969,8,33,2022,2
Ganz utca,,,954.0,4.0,,,954,4,5,2022,2
Garas utca,,,1126.0,7.0,,,1126,7,49,2022,2
Gárdonyi Géza út,,,1225.0,4.0,,,1225,4,27,2022,2
Guyon köz,,,1394.0,4.0,,,1394,4,17,2022,2
Guyon Richárd utca,,,1142.0,3.0,,,1142,3,31,2022,2
Hankóczy Jenő utca,,,1387.0,6.0,,,1387,6,37,2022,2
Harcsa utca,,,811.0,6.0,,,811,6,25,2022,2
Hárshegyi út,,,1371.0,3.0,,,1371,3,20,2022,2
Házmán utca,,,1174.0,4.0,,,1174,4,15,2022,2
Herman Ottó út,,,1414.0,7.0,,,1414,7,58,2022,2
Hidegkúti út,561.0,4.0,1233.0,4.0,,,897,8,57,2022,2
Horvát utca,,,1159.0,8.0,,,1159,8,23,2022,2
Hunyadi János utca,,,,,,,1242,3,37,2022,2
Hűvösvölgyi út,,,1026.0,30.0,,,1061,31,35,2022,2
Járóka utca,,,1115.0,3.0,,,1115,3,16,2022,2
Józsefhegyi utca,,,1110.0,4.0,,,1110,4,7,2022,2
Júlia utca,,,1171.0,4.0,,,1171,4,11,2022,2
Kacsa utca,,,1134.0,3.0,,,1134,3,29,2022,2
Kandó Kálmán utca,,,986.0,7.0,,,986,7,18,2022,2
Kapás utca,,,1226.0,20.0,,,1226,20,32,2022,2
Káplár utca,,,1004.0,14.0,,,1004,14,16,2022,2
Kapy utca,,,,,,,1548,3,40,2022,2
Kavics utca,,,1138.0,5.0,,,1138,5,18,2022,2
Kelemen László utca,,,1134.0,6.0,,,1134,6,19,2022,2
Keleti Károly utca,,,1079.0,24.0,,,1079,24,23,2022,2
Kis Rókus utca,,,934.0,5.0,,,934,5,15,2022,2
Krecsányi utca,,,957.0,4.0,,,957,4,47,2022,2
Kulpa utca,,,1129.0,3.0,,,1129,3,15,2022,2
Kuruclesi út,,,1194.0,9.0,,,1264,10,30,2022,2
Labanc út,,,1130.0,15.0,,,1130,15,30,2022,2
Lajos utca,,,952.0,5.0,,,952,5,17,2022,2
Lepke utca,,,1691.0,3.0,,,1691,3,51,2022,2
Lévay utca,,,1051.0,3.0,,,1051,3,7,2022,2
Lipthay utca,,,837.0,4.0,,,837,4,6,2022,2
Lóczy Lajos utca,,,1277.0,3.0,,,1277,3,25,2022,2
Lorántffy Zsuzsanna út,,,933.0,8.0,,,933,8,39,2022,2
Lotz Károly utca,,,1233.0,3.0,,,1233,3,11,2022,2
Lövőház utca,,,1047.0,17.0,,,1047,17,24,2022,2
Lublói utca,,,980.0,5.0,,,980,5,18,2022,2
Lukács utca,,,890.0,6.0,,,890,6,20,2022,2
Marczibányi tér,,,1111.0,5.0,,,1111,5,21,2022,2
Margit körút,,,971.0,71.0,,,971,71,23,2022,2
Mecset utca,,,1261.0,3.0,,,1261,3,46,2022,2
Muhar utca,,,947.0,4.0,,,947,4,5,2022,2
Nagyajtai utca,,,1077.0,3.0,,,1077,3,20,2022,2
Nagybányai út,,,1281.0,6.0,,,1281,6,26,2022,2
Nyúl utca,,,1150.0,11.0,,,1150,11,57,2022,2
Ördögárok utca,1213.0,4.0,,,,,1207,6,38,2022,2
Orló utca,,,983.0,6.0,,,983,6,15,2022,2
Orsó utca,,,1143.0,5.0,,,1143,5,11,2022,2
Ötvös János utca,,,1432.0,9.0,,,1432,9,42,2022,2
Őzgida utca,,,1314.0,3.0,,,1314,3,15,2022,2
Pajzs utca,,,1315.0,3.0,,,1315,3,21,2022,2
Pálos utca,,,961.0,3.0,,,961,3,5,2022,2
Pasaréti út,,,1127.0,28.0,,,1127,28,30,2022,2
Pázsit utca,,,1241.0,6.0,,,1241,6,36,2022,2
Pengő utca,,,1197.0,3.0,,,1197,3,20,2022,2
Pentelei Molnár utca,,,1198.0,4.0,,,1198,4,15,2022,2
Pusztaszeri út,,,1147.0,25.0,,,1147,25,26,2022,2
Retek utca,,,1043.0,5.0,,,1043,5,17,2022,2
Ribáry utca,,,1321.0,3.0,,,1321,3,65,2022,2
Rómer Flóris utca,,,1010.0,13.0,,,1010,13,24,2022,2
Rózsahegy utca,,,1312.0,3.0,,,1312,3,36,2022,2
Sodrás utca,,,1133.0,5.0,,,1133,5,42,2022,2
Szász Károly utca,,,839.0,16.0,,,839,16,20,2022,2
Széher út,,,989.0,7.0,,,989,7,14,2022,2
Szemlőhegy utca,,,1713.0,10.0,,,1713,10,33,2022,2
Széphalom utca,,,784.0,4.0,,,784,4,59,2022,2
Szépvölgyi út,1342.0,3.0,1102.0,13.0,,,1147,16,28,2022,2
Szerb Antal utca,,,1075.0,4.0,,,1075,4,31,2022,2
Szeréna út,,,1677.0,8.0,,,1677,8,38,2022,2
Szilágyi Erzsébet fasor,,,985.0,23.0,,,985,23,24,2022,2
Tapolcsányi utca,,,1123.0,4.0,,,1123,4,16,2022,2
Tárogató út,,,1126.0,13.0,,,1126,13,27,2022,2
Templom utca,,,767.0,3.0,,,842,4,21,2022,2
Tölgyfa utca,,,826.0,16.0,,,826,16,16,2022,2
Torockó köz,,,1261.0,3.0,,,1261,3,11,2022,2
Torockó utca,,,1211.0,4.0,,,1211,4,22,2022,2
Török utca,,,869.0,9.0,,,869,9,22,2022,2
Törökvész út,,,1267.0,27.0,,,1267,27,26,2022,2
Trombitás út,,,1190.0,5.0,,,1102,6,31,2022,2
Tulipán utca,,,1450.0,4.0,,,1450,4,22,2022,2
Ürömi utca,,,1112.0,5.0,,,1112,5,18,2022,2
Utas utca,,,1208.0,4.0,,,1208,4,9,2022,2
Varsányi Irén utca,,,996.0,10.0,,,996,10,20,2022,2
Vérhalom utca,,,1127.0,13.0,,,1127,13,28,2022,2
Versec sor,,,,,,,1328,3,46,2022,2
Zivatar utca,,,1187.0,3.0,,,1187,3,13,2022,2
Zöldlomb utca,,,1046.0,17.0,,,1046,17,23,2022,2
Zöldmáli lejtő,,,1105.0,3.0,,,1105,3,7,2022,2
Zsindely utca,,,1021.0,3.0,,,1021,3,25,2022,2
Zuhatag sor,,,1135.0,5.0,,,1135,5,13,2022,2
együtt,1163.0,84.0,1136.0,1200.0,,,1138,1284,35,2022,2
Ágoston utca,,,,,754.0,20.0,754,20,22,2022,3
Akác köz,,,,,701.0,6.0,701,6,14,2022,3
Amfiteátrum utca,,,,,864.0,26.0,864,26,13,2022,3
Árpád fejedelem útja,,,928.0,17.0,,,928,17,16,2022,3
Árpád utca,869.0,4.0,,,,,869,4,40,2022,3
Bálint György utca,,,,,669.0,19.0,669,19,14,2022,3
Bebo Károly utca,,,,,741.0,13.0,741,13,19,2022,3
Bécsi út,,,886.0,49.0,743.0,19.0,846,68,27,2022,3
Berend utca,,,941.0,5.0,725.0,7.0,815,12,17,2022,3
Bóbita utca,,,1131.0,5.0,,,1131,5,16,2022,3
Bogdáni út,,,933.0,12.0,,,922,13,9,2022,3
Boglár utca,,,,,667.0,11.0,667,11,13,2022,3
Budakalász utca,,,,,553.0,6.0,553,6,38,2022,3
Búza utca,,,,,735.0,25.0,735,25,14,2022,3
Csalma utca,,,1080.0,3.0,,,1080,3,19,2022,3
Csillagszem utca,,,1212.0,5.0,,,1212,5,13,2022,3
Csobánka tér,,,,,519.0,3.0,519,3,64,2022,3
Csónakház utca,,,,,941.0,3.0,941,3,13,2022,3
Domoszló útja,1348.0,4.0,,,,,1492,5,27,2022,3
Erdőalja út,,,1394.0,4.0,,,1316,5,15,2022,3
Eső utca,,,956.0,3.0,,,956,3,7,2022,3
Evező utca,,,1085.0,4.0,,,1085,4,9,2022,3
Fanyarka utca,,,1125.0,3.0,,,1125,3,15,2022,3
Farkastorki út,,,1556.0,4.0,,,1556,4,7,2022,3
Flóra utca,,,1304.0,3.0,,,1304,3,18,2022,3
Föld utca,,,772.0,3.0,,,772,3,9,2022,3
Folyamőr utca,,,,,745.0,9.0,745,9,16,2022,3
Folyóka utca,,,985.0,3.0,,,985,3,63,2022,3
Folyondár utca,,,1070.0,7.0,,,1070,7,27,2022,3
Füst Milán utca,,,,,654.0,14.0,654,14,28,2022,3
Gulácsy Lajos utca,,,,,814.0,7.0,814,7,9,2022,3
Gyenes utca,,,1007.0,10.0,,,1007,10,9,2022,3
Gyógyszergyár utca,,,,,797.0,12.0,797,12,31,2022,3
Gyűrű utca,,,,,647.0,22.0,647,22,12,2022,3
Hadrianus utca,,,,,717.0,13.0,717,13,13,2022,3
Harang utca,,,,,728.0,3.0,728,3,8,2022,3
Harrer Pál utca,,,,,713.0,16.0,713,16,15,2022,3
Hatvany Lajos utca,,,,,700.0,15.0,700,15,12,2022,3
Hévízi út,,,877.0,9.0,898.0,3.0,882,12,14,2022,3
Hímző utca,,,,,656.0,26.0,666,27,15,2022,3
Hollós Korvin Lajos utca,,,,,639.0,27.0,639,27,18,2022,3
Hunor utca,,,963.0,13.0,,,963,13,26,2022,3
Huszti út,,,,,790.0,12.0,836,13,24,2022,3
Iglice utca,,,1093.0,3.0,,,1093,3,22,2022,3
Jablonka út,,,,,,,1232,3,18,2022,3
Jendrassik György utca,,,,,683.0,10.0,683,10,14,2022,3
Jós utca,,,,,641.0,18.0,641,18,11,2022,3
Juhász Gyula utca,,,,,728.0,31.0,728,31,15,2022,3
Kabar utca,,,,,689.0,18.0,689,18,12,2022,3
Kadosa utca,,,1100.0,3.0,947.0,5.0,1004,8,30,2022,3
